[2025-04-22 17:25:34,521] INFO [Broker id=0] Leader __consumer_offsets-16 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,544] INFO [Broker id=0] Leader __consumer_offsets-2 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,567] INFO [Broker id=0] Leader __consumer_offsets-25 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,589] INFO [Broker id=0] Leader __consumer_offsets-40 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,612] INFO [Broker id=0] Leader __consumer_offsets-47 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,636] INFO [Broker id=0] Leader __consumer_offsets-17 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,659] INFO [Broker id=0] Leader __consumer_offsets-32 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,683] INFO [Broker id=0] Leader __consumer_offsets-37 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,707] INFO [Broker id=0] Leader __consumer_offsets-7 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,730] INFO [Broker id=0] Leader __consumer_offsets-22 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,754] INFO [Broker id=0] Leader __consumer_offsets-29 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,777] INFO [Broker id=0] Leader __consumer_offsets-44 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,799] INFO [Broker id=0] Leader __consumer_offsets-14 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,823] INFO [Broker id=0] Leader __consumer_offsets-23 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,847] INFO [Broker id=0] Leader __consumer_offsets-38 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,869] INFO [Broker id=0] Leader __consumer_offsets-8 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,893] INFO [Broker id=0] Leader __consumer_offsets-45 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 2 with partition epoch 0, high watermark 2, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,893] INFO [Broker id=0] Leader __consumer_offsets-15 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,917] INFO [Broker id=0] Leader __consumer_offsets-30 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,940] INFO [Broker id=0] Leader __consumer_offsets-0 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,964] INFO [Broker id=0] Leader __consumer_offsets-35 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,986] INFO [Broker id=0] Leader __consumer_offsets-5 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:35,010] INFO [Broker id=0] Leader __consumer_offsets-20 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:35,033] INFO [Broker id=0] Leader location_updates-0 with topic id Some(uavm11bASh6qxi5-562zBQ) starts at leader epoch 0 from offset 127 with partition epoch 0, high watermark 127, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:35,033] INFO [Broker id=0] Leader __consumer_offsets-27 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:35,057] INFO [Broker id=0] Leader __consumer_offsets-42 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:35,080] INFO [Broker id=0] Leader __consumer_offsets-12 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:35,103] INFO [Broker id=0] Leader __consumer_offsets-21 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:35,126] INFO [Broker id=0] Leader __consumer_offsets-36 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:35,149] INFO [Broker id=0] Leader __consumer_offsets-6 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:35,173] INFO [Broker id=0] Leader __consumer_offsets-43 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:35,195] INFO [Broker id=0] Leader __consumer_offsets-13 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:35,218] INFO [Broker id=0] Leader __consumer_offsets-28 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:35,279] INFO [Broker id=0] Finished LeaderAndIsr request in 1204ms correlationId 1 from controller 0 for 51 partitions (state.change.logger)
[2025-04-22 17:25:35,287] INFO [Broker id=0] Add 51 partitions and deleted 0 partitions from metadata cache in response to UpdateMetadata request sent by controller 0 epoch 2 with correlation id 2 (state.change.logger)
